task,seed,status,grokking_epoch,final_test_acc
addition,0,grokked,414,0.9888801879404855
addition,1,grokked,334,0.9827721221613156
addition,2,grokked,345,0.9870007830853563
addition,3,grokked,197,0.9949882537196555
addition,4,grokked,869,0.9790133124510572
addition,6,grokked,307,0.9779169929522318
addition,7,grokked,1536,0.9630383711824589
addition,8,learned-but-plateaued,,0.770399373531715
addition,9,grokked,162,0.990602975724354
addition,10,grokked,238,0.9910728269381363
subtraction,0,failed-to-learn,,0.36131558339859043
subtraction,1,failed-to-learn,,0.07658574784651527
subtraction,2,learned-but-plateaued,,0.9506656225528582
subtraction,3,learned-but-plateaued,,0.6278778386844166
subtraction,4,learned-but-plateaued,,0.9246671887235709
subtraction,5,grokked,992,0.959592795614722
subtraction,8,failed-to-learn,,0.06014095536413469
subtraction,9,learned-but-plateaued,,0.839780736100235
subtraction,13,failed-to-learn,,0.1976507439310885
subtraction,14,failed-to-learn,,0.16695379796397808
